location_type
"1-2 Family Dwelling"
"1-, 2- and 3- Family Home"
"3+ Family Apartment Building"
"3+ Family Apt. Building"
"3+ Family Mixed Use Building"
"Above Address"
"Address"
"Address Outside of NYC"
"Address Unknown"
"Apartment Building"
"Beach"
"Bridge"
"Bridge/Underpass"
"Bus Stop Shelter"
"Caller Address"
"Club/Bar/Restaurant"
"Co-Op Unit"
"Commercial"
"Commercial Building"
"Common Area"
"Condo Unit"
"Construction Site"
"Crosswalk"
"Curb"
"DRIE Tenant's Address"
"Government/Not-for Profit"
"Highway"
"Hospital"
"House of Worship"
"Lot"
"Mixed Use"
"NYC Street Address"
"Other"
"P.O. Box"
"Park"
"Park/Playground"
"Parking Lot/Garage"
"Pool"
"Private House"
"Property Address"
"Public Park/Garden"
"Public/Unfenced Area"
"Recreation Center"
"Residence"
"Residential"
"RESIDENTIAL BUILDING"
"Residential Building/House"
"Residential Property"
"Restaurant/Bar/Deli/Bakery"
"Roof"
"School"
"Senior Address"
"Sidewalk"
"Store"
"Store/Commercial"
"Street"
"Street and Sidewalk"
"Street/Curbside"
"Street/Sidewalk"
"Tanning Salon"
"Tattoo Parlor"
"Terminal"
"Vacant Building"
"Vacant Lot"
"Vehicle Lane"
